Id,Year_Birth,Education,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumDealsPurchases,NumWebPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain
1826,1970,Graduation,84835,6/16/2014,0,189,104,379,111,189,1,4,6,1,1,0
1,1961,,57091,6/15/2014,0,464,5,64,7,0,1,7,7,5,1,0
10476,1958,Graduation,67267,5/13/2014,0,134,11,59,15,2,1,3,5,2,0,0
1386,1967,Graduation,32474,11/5/2014,0,10,0,1,0,0,1,1,2,7,0,0
5371,1989,Graduation,21474,8/4/2014,0,6,16,24,11,0,2,3,2,7,1,0
7348,1958,PhD,,3/17/2014,0,336,130,411,240,32,1,4,5,2,1,0
4073,1954,2n Cycle,63564,1/29/2014,0,,80,252,15,34,1,10,7,6,1,0
1991,1967,Graduation,44931,1/18/2014,0,78,0,11,0,0,1,2,3,5,0,0
4047,1954,PhD,65324,11/1/2014,0,384,0,102,21,32,3,6,9,4,0,0
9477,1954,PhD,65324,11/1/2014,0,384,0,102,21,32,3,6,9,4,0,0
2079,,2n Cycle,81044,12/27/2013,0,450,26,535,73,98,1,5,10,1,0,0
5642,1979,Master,62499,9/12/2013,0,140,4,61,0,13,2,3,6,4,0,0
10530,1959,PhD,67786,7/12/2013,0,431,82,441,80,20,1,3,6,1,1,0
2964,1981,Graduation,26872,10/16/2013,0,3,10,8,3,16,1,1,2,6,0,0
10311,1969,Graduation,4428,5/10/2013,0,16,4,12,2,4,0,25,0,1,0,0
837,1977,Graduation,54809,11/9/2013,0,63,6,57,13,13,4,2,5,4,0,0
10521,1977,Graduation,54809,11/9/2013,0,63,6,57,13,13,4,2,5,4,1,0
10175,1958,PhD,32173,1/8/2013,0,18,0,2,0,0,1,1,3,4,0,0
1473,1960,2n Cycle,47823,7/23/2013,0,53,1,5,2,1,2,2,3,8,0,0
2795,1958,Master,30523,1/7/2013,0,5,0,3,0,0,1,1,2,7,0,0
2285,1954,Master,36634,5/28/2013,0,,9,76,4,3,3,5,5,7,0,0
115,1966,Master,43456,3/26/2013,0,275,11,68,25,7,3,5,8,5,0,0
10470,1979,Master,40662,3/15/2013,0,40,2,23,0,4,2,2,3,4,0,0
4065,1976,PhD,49544,12/2/2013,0,308,0,73,0,0,2,5,8,7,0,0
10968,1969,Graduation,57731,11/23/2012,0,266,21,300,65,8,4,8,6,6,0,0
5985,1965,Master,33168,10/13/2012,0,80,1,37,0,1,3,2,4,7,0,0
5430,1956,Graduation,54450,9/14/2012,0,454,0,171,8,19,12,9,8,8,0,0
8432,1956,Graduation,,9/14/2012,0,454,0,171,8,19,12,9,8,8,0,0
453,1956,PhD,35340,6/29/2014,1,27,0,12,0,1,2,2,3,5,0,0
9687,1975,Graduation,73170,5/31/2014,1,184,174,256,50,30,1,5,6,2,0,0
8890,1971,PhD,65808,5/30/2014,1,155,7,80,13,7,3,5,5,6,0,0
9264,1986,Graduation,79529,4/27/2014,1,423,42,706,73,197,1,4,9,2,0,0
5824,1972,PhD,34578,11/4/2014,1,7,0,1,0,0,1,1,2,6,0,0
5794,1974,PhD,46374,3/17/2014,1,408,0,21,0,0,3,7,7,8,1,0
3068,1990,Graduation,18351,10/29/2013,1,1,12,9,0,14,1,2,3,7,0,0
7962,1987,PhD,95169,9/10/2013,1,1285,21,449,106,20,1,4,4,1,1,0
2681,1984,2n Cycle,65370,1/8/2013,1,71,22,112,138,89,1,2,13,1,0,0
10141,1960,Master,39228,10/5/2013,1,7,1,6,0,3,1,0,3,4,0,0
3725,1961,PhD,84865,9/5/2013,1,1248,16,349,43,16,1,2,9,4,1,
3767,1968,Graduation,61314,4/25/2013,1,378,0,189,97,172,2,5,12,3,0,0
5585,1972,Graduation,21359,4/20/2013,1,12,2,17,6,1,2,2,3,8,1,0
7030,1955,PhD,66465,3/30/2013,1,1200,0,204,38,29,3,11,12,6,0,0
1524,1983,2n Cycle,81698,1/3/2013,1,709,45,115,30,160,1,8,5,5,1,0
3657,1986,Graduation,39146,2/14/2013,1,94,1,33,13,12,3,4,4,8,0,0
5740,1970,2n Cycle,25959,2/14/2013,1,4,2,12,7,5,2,1,2,6,1,0
9595,1961,Graduation,64260,11/1/2013,1,539,169,816,20,0,1,4,4,3,1,0
3158,1973,Graduation,32300,3/1/2013,1,13,3,6,6,5,1,1,3,8,0,0
5114,1965,Master,74806,12/19/2012,1,670,9,249,0,28,2,5,5,4,0,0
340,1970,Graduation,72967,12/15/2012,1,158,35,179,0,0,2,7,8,5,1,0
8805,1960,Graduation,48904,2/12/2012,1,283,10,38,0,13,4,7,4,8,0,0
1241,1984,2n Cycle,14796,9/17/2012,1,13,3,8,7,4,2,1,3,9,1,0
1402,1954,Master,66991,11/9/2012,1,496,36,460,189,60,3,4,6,3,0,0
7264,1978,2n Cycle,52195,12/5/2014,2,12,0,4,0,0,1,1,2,8,0,0
1619,1956,Graduation,90369,4/28/2014,2,292,51,981,224,23,1,4,6,1,1,0
6398,1974,Basic,18393,3/29/2014,2,7,10,13,16,0,2,3,3,8,0,0
1857,1952,Graduation,47139,6/3/2014,2,46,0,12,0,2,2,2,2,7,1,0
4877,1973,Master,38576,4/3/2014,2,34,0,7,0,0,1,1,3,7,0,0
3066,1975,PhD,61905,4/2/2014,2,167,0,43,6,2,2,4,4,5,0,0
10286,1962,Graduation,83715,3/2/2014,2,318,8,407,150,35,1,2,13,0,0,0
1992,1964,Graduation,60597,1/1/2014,2,522,0,257,32,16,4,2,8,7,1,0
4246,1982,Master,6560,12/12/2013,2,67,11,26,4,3,0,1,1,17,0,0
10623,1961,Master,48330,11/15/2013,2,28,0,4,0,0,1,1,3,5,0,0
4867,1968,PhD,38236,9/20/2013,2,58,0,18,2,0,4,3,4,7,0,0
3112,1977,Master,22701,5/9/2013,2,2,4,9,0,4,1,1,3,5,0,0
4865,1974,Master,53367,8/31/2013,2,229,7,140,10,3,7,5,8,7,1,0
6287,1986,Graduation,34728,7/30/2013,2,14,0,16,0,0,1,1,2,6,1,0
4405,1956,Master,63915,7/30/2013,2,622,7,115,30,0,2,6,12,5,0,0
5332,1960,2n Cycle,82504,7/27/2013,2,362,50,431,134,35,1,3,7,1,0,0
1519,1972,PhD,38578,6/22/2013,2,38,4,22,3,3,3,3,3,8,1,0
9080,1972,PhD,38578,6/22/2013,2,38,4,22,3,3,3,3,3,8,0,0
1772,1975,PhD,79174,11/1/2013,2,1074,37,518,193,92,1,5,7,2,1,0
5341,1962,2n Cycle,81975,5/1/2013,2,983,76,184,180,138,1,6,4,7,0,0
5510,1977,Master,43263,11/21/2012,2,262,6,61,0,10,3,5,6,5,0,0
3887,1970,Graduation,27242,11/11/2012,2,3,17,26,20,1,2,2,3,9,1,0
7022,1971,Graduation,76445,9/28/2012,2,739,107,309,140,80,1,2,13,6,0,0
9999,1965,Graduation,75276,9/27/2012,2,610,105,125,137,42,1,9,9,5,0,0
10352,1963,Graduation,34213,7/9/2012,2,50,4,28,6,3,3,3,2,9,1,0
7919,1976,PhD,72335,8/13/2012,2,1285,105,653,28,21,1,10,8,8,1,0
4114,1964,Master,79143,11/8/2012,2,650,37,780,27,167,1,6,13,3,0,0
7990,1947,Graduation,27469,2/8/2012,2,9,1,2,3,2,1,0,3,6,0,0
9888,1969,Graduation,68695,6/25/2014,3,458,81,356,106,50,1,4,7,2,0,0
4399,1969,Graduation,68695,6/25/2014,3,458,81,356,106,50,1,4,7,2,0,0
4452,1957,Graduation,50388,5/28/2014,3,292,6,37,0,3,4,6,6,7,1,0
